run_id,algo,variant,seed,pop_size,tournament_size,p_inflate,n_elites,elite_train_rmse,elite_size,elite_nodes
374404b8-7c76-11f1-bc3d-72c976fed59b,SLIM~MIX_oms,SLIM~MIX,0,100,2,0.5,1,0.9939895272254944,83,1603
374404fe-7c76-11f1-bc3d-72c976fed59b,SLIM+MIX_oms,SLIM+MIX,0,100,2,0.5,3,1.2487715482711792,79,1319
37440544-7c76-11f1-bc3d-72c976fed59b,SLIM*MIX_oms,SLIM*MIX,0,100,2,0.5,3,0.9984977841377258,34,556
374405a8-7c76-11f1-bc3d-72c976fed59b,SLIM~MIX_oms,SLIM~MIX,0,100,2,0.5,3,0.9938807487487793,81,1897
374405f8-7c76-11f1-bc3d-72c976fed59b,SLIM+MIX_oms,SLIM+MIX,0,100,2,0.5,5,1.2604880332946777,103,1997
3744063e-7c76-11f1-bc3d-72c976fed59b,SLIM*MIX_oms,SLIM*MIX,0,100,2,0.5,5,0.9983267784118652,56,1090
374406a2-7c76-11f1-bc3d-72c976fed59b,SLIM~MIX_oms,SLIM~MIX,0,100,2,0.5,5,0.9937471151351929,90,1748
37441d4a-7c76-11f1-bc3d-72c976fed59b,SLIM+MIX_oms,SLIM+MIX,0,100,2,0.5,10,1.247435450553894,103,1975
37441db8-7c76-11f1-bc3d-72c976fed59b,SLIM*MIX_oms,SLIM*MIX,0,100,2,0.5,10,0.9983921647071838,46,1108
37441ed0-7c76-11f1-bc3d-72c976fed59b,SLIM~MIX_oms,SLIM~MIX,0,100,2,0.5,10,0.9937466382980347,79,1401
37441f20-7c76-11f1-bc3d-72c976fed59b,SLIM+MIX_oms,SLIM+MIX,0,100,2,0.7,1,1.2420079708099365,136,2614
37441f70-7c76-11f1-bc3d-72c976fed59b,SLIM*MIX_oms,SLIM*MIX,0,100,2,0.7,1,0.9983322620391846,59,1363
37441fb6-7c76-11f1-bc3d-72c976fed59b,SLIM~MIX_oms,SLIM~MIX,0,100,2,0.7,1,0.9931542873382568,109,2465
37441ffc-7c76-11f1-bc3d-72c976fed59b,SLIM+MIX_oms,SLIM+MIX,0,100,2,0.7,3,1.2440383434295654,131,2681
37442056-7c76-11f1-bc3d-72c976fed59b,SLIM*MIX_oms,SLIM*MIX,0,100,2,0.7,3,0.9983391165733337,55,1093
374420a6-7c76-11f1-bc3d-72c976fed59b,SLIM~MIX_oms,SLIM~MIX,0,100,2,0.7,3,0.9931616187095642,116,2636
374420ec-7c76-11f1-bc3d-72c976fed59b,SLIM+MIX_oms,SLIM+MIX,0,100,2,0.7,5,1.2424789667129517,120,2418
